primary_title,avg_rating
Shift,7.0
Deceitful Dating,5.7
Hannelore Elsner: Ohne Spiel ist mir das Leben zu ernst,7.6
The Assistant,5.2
Karkhanisanchi Waari: Ashes on a road trip,6.9
The Blue Girl,6.8
Little Palestine (Diary of a Siege),7.7
Criminali si diventa,7.0
Just What the Doctor Ordered,5.6
The Quest for Tonewood,7.6
The Mississippi Mummy,2.0
Recalled,6.7
Carnal Monsters,5.5
Free! the Final Stroke,8.2
Salaryman,6.6
Expediency,6.8
Donna Stronger Than Pretty,8.0
Haunters of the dark,2.5
Deadly Passion,5.5
Zoraki Misafir,5.5
David Bowie: Out of This World,6.2
1970,7.5
Love Bound - When Your Child Becomes Mentally Ill,8.2
Wedding Proposal,7.0
Harry & Meghan: The Revelations,2.3
Birta,6.6
Prince of Dreams,7.3
Red Mercury Mission in India,8.7
Moonbound,4.7
Prince Philip: A Lifetime of Duty,3.8
Tiger Woods: Icon,6.9
Sensitive Material,8.1
Travail à la demande,7.2
Istoriya grazhdanskoy voyny,6.5
Neues in Wittstock,8.4
Under the Stadium Lights,3.9
I Am Mortal,3.2
Blood Red Sky,6.1
Tiempos Futuros,6.7
Republic of Silence,7.4
Ghost Tale,3.0
Carolina's Calling,5.3
72 Ghanta,6.1
Moxie,6.7
Dear Mr. Brody,7.0
Locked In,4.2
Cinema Sabaya,7.3
Spoken,2.4
Sing 2,7.4
The Enormity of Life,6.0
Two Lions Heading to Venice,7.9
The Black Book,3.4
Broken Diamonds,5.5
Eating Our Way to Extinction,7.7
The Colony,5.4
Last Call,4.1
Sister Swap: A Hometown Holiday,6.3
Sister Swap: Christmas in the City,6.0
Before I'm Dead,4.7
My So-Called Selfish Life,8.1
Lust for Gold: A Race Against Time,5.5
Woodland Grey,4.1
The Cleaner,5.2
Alice Fades Away,3.8
Taste,5.6
The White Tiger,7.1
Pat Rocco Dared,8.0
Ainbo,4.8
Fear Street: Part One - 1994,6.2
Hostage,3.9
Around Rocha's Table,6.3
Senior Moment,5.9
My Body Is Not Obscene,5.8
Torch,4.3
The Contract,7.0
Infinite,5.4
Take Back the Night,4.0
Tenzin,8.0
Amityville Cop,4.4
Pennywise: The Story of It,7.8
Baikal: Amazing Adventures of Yuma,7.6
Knights of Newgate,3.3
Montford: The Chickasaw Rancher,6.7
Calm Before,2.6
The Loud House Movie,6.1
America: The Motion Picture,5.6
Haymaker,4.0
The Curse of Turandot,4.5
Journey to Somewhere,5.8
Days and Nights of Demetra K.,5.7
The Haunted Hotel,4.4
Under the Palm Tree,8.7
Decapitarium,3.4
It's Not a Burden: The Humor and Heartache of Raising Elderly Parents,6.9
Contactee,3.5
Coming 2 America,5.3
Second Thoughts,6.7
"Stallone: Frank, That Is",6.4
Kontakti,8.4
The Right One,5.2
Benedetta,6.8
Love Gods from Planet Zero,8.0
"I, Portrait",3.7
The Judgement,7.4
Benediction,6.7
The King's Man,6.3
Palmer,7.2
The Expat,8.5
Cheer Haran,9.5
The God Committee,5.8
Violet,5.9
Heart of the Gun,6.6
Ahimsa Gandhi: The Power of the Powerless,8.6
Coming Home in the Dark,5.7
Ten Million Throwaways,5.1
The King of all the World,7.0
The Wild Man: Skunk Ape,5.5
The Eden Theory,3.4
The Marksman,5.6
For the Hits,7.8
Bergman Island,6.7
Aaradugula Bullet,3.5
Count Me In,6.8
The Dunes,6.1
Bottom Feeders,6.1
Fanboy,3.9
Resident Evil: Welcome to Raccoon City,5.2
Brimstone Creek Rd,6.7
More the Merrier,5.4
Travis Turner,3.7
The Boss Baby 2: Family Business,5.9
Sarogeto,8.6
The Man in the Attic,8.2
Father of Flies,4.0
Skater Girl,6.6
"Pixinguinha, an Affectionate Man",6.6
Tollbooth,5.7
Oh Crappy Day,5.5
The Souvenir: Part II,7.2
The Summit of the Gods,7.5
Hustle Down,3.1
Blue Call,3.9
Kurup,7.1
Things Don't Stay Fixed,4.9
American Traitor: The Trial of Axis Sally,5.6
Expiry,3.6
Lapwing,5.0
The Conjuring: The Devil Made Me Do It,6.3
8 Winds,5.5
Bloody Romeo,8.5
Blue Miracle,6.6
Past Shadows,6.3
Sandeep Aur Pinky Faraar,6.3
Venom: Let There Be Carnage,5.9
The Machinery of Dreams,7.2
Needle in a Timestack,5.1
The Witch and the Ottoman,4.6
Answers to Questions You Didn't Know to Ask About Climate Change,4.2
El encanto de las ballenas,9.6
The Pitch,7.0
The Black Phone,7.0
The Underground,5.1
I Fausto,7.7
You Are My Sunshine,6.6
The Green Sea,5.3
Void,7.0
Holy Emy,6.1
Nr. 10,6.7
More Than I Deserve,6.9
A Little Italian Vacation,3.8
Comala,7.1
Manhunt: Kill or Be Killed,6.2
The Guest,7.0
Trapped,5.5
Typo,4.4
Blood Pageant,2.3
Poly Styrene: I Am a Cliché,7.0
Shook,4.1
Election Night,6.1
The Velvet Underground,7.4
No Witnesses,3.2
Public Eye,8.7
Lady Buds,6.6
Edge of Town,9.0
Minnal Murali,7.9
Introspectum Motel,3.9
Memory Box,6.7
Freaks Out,7.0
The Light Touch,3.1
Divided We Fall,3.3
I Dream of a Psychopomp,3.2
Yes I Am: The Ric Weiland Story,8.6
Vasectomia,6.7
18½,4.9
Where the Land Meets the Sky,5.1
Waah Zindagi,7.0
Eating Cars,5.7
Me and the Beasts,7.4
Anugraheethan Antony,6.3
Stronger for Life,6.3
The Horrific Evil Monsters,5.3
Surveilled,6.8
Defining Moments,4.4
Laserium,6.3
Followers,3.3
Doctor I Love You,7.7
This Is Not a War Story,6.1
Carving the Divine,9.7
Virando a Mesa,5.1
Overdosed,8.6
Around Robin,7.6
Martyrs Lane,5.6
Beijing Spring,7.3
Invisible,8.1
Munich: The Edge of War,6.8
For the Left Hand,7.2
The Smartest Kids in the World,7.7
Son of Fukushima,8.0
Borderline,6.0
Christmas Down Under,4.5
Road to Perth,5.2
The Road Ahead,4.7
Ron's Gone Wrong,7.0
A Nomad River,7.3
Coda 77,5.6
'83,7.5
The House Next Door: Meet the Blacks 2,3.9
Brighton 4th,6.9
Entanglement,5.6
Too Soon: Comedy After 9/11,6.8
Confetti,6.9
Soulmate(s),3.8
Every Single Someone,6.3
It Takes Three,4.9
Fixer,6.2
Music,3.2
Rafaela,7.7
A Brixton Tale,4.7
Más que el Agua,7.9
Blood Conscious,4.2
Some Happy Day,8.6
Case No 130/2016,4.1
Dynasty Warriors,4.7
Major Grom: Plague Doctor,6.3
Hotel Inferno 3: The Castle of Screams,5.2
Bullied,5.2
Brewmance,6.6
Rock Camp,7.7
To Olivia,6.4
"Hallelujah: Leonard Cohen, a Journey, a Song",7.6
J1S,5.3
Come from Away,8.5
Doll Factory,5.1
Moth,4.7
The Heroics,6.1
Welcome to Siegheilkirchen,6.5
Americanish,7.2
Burial Ground Massacre,3.8
The Devil Below,4.3
A Father's Diary,8.4
Lily Is Here,6.1
Greetings from Tromaville,7.1
We All Lie My Darling,5.4
Out of Time,5.6
"parTy boi, black diamonds in ice castles",8.0
Charlotte,5.9
The Department,9.1
El Ascensor,4.7
Ocho cuentos sobre mi hipoacusia,7.2
Kate,6.2
Nightmare Alley,7.0
Antlers,5.9
This Is the Night,5.5
No Responders Left Behind,6.3
Digging to Death,4.5
Breaking News in Yuba County,5.8
Exodus,2.7
Walking with Herb,5.1
Bigfoot's Bride,2.2
Lights! Camera! Murder!,7.3
Stoyan,7.0
Olivia,8.3
Jason Rising: A Friday the 13th Fan Film,6.4
Dragon Princess,7.7
The Unexplainable Disappearance of Mars Patel,8.9
Kaadan,7.9
Aswat Acherim,8.0
First Signal,6.0
Paris Paris,7.0
Playing with Beethoven,7.6
Ride or Die,3.1
Charming the Hearts of Men,6.4
Quartz Vein,5.1
Beguiled Company,8.9
Chompy & The Girls,5.6
Nobody,7.4
Paradox Lost,5.1
Come Find Me,8.2
Deadly Illusions,3.7
There May Be Ghosts,9.4
Human Factors,5.9
At Last,4.4
Demonic Doorways,3.3
Indemnity,4.8
Bergeron Brothers: Wedding Videographers,6.2
The Office Games,7.4
Cerebrum,3.8
Silk Road,6.0
"No Loss, No Gain",3.8
Hell Nurse,7.6
Lucicreide Goes to Mars,5.3
CompleX,5.3
OSS 117: From Africa with Love,5.8
Citizen Ashe,7.4
Slice O' Cake,9.7
Koati,5.1
Hide and Seek,4.1
Any Given Day,7.8
Portal Runner,5.6
The Mitchells vs the Machines,7.6
The List of Those Who Love Me,6.9
Made in Chinatown,4.6
Crypto Heads,8.6
Red Notice,6.3
The Mother the Son the Rat and the Gun,4.7
Zayed 9,7.9
Princess Cut 2,7.5
Matcha & Vanilla,6.4
Rumba Love,6.8
Impact,9.3
Punch 9 for Harold Washington,8.8
Sanga Thalaivan,6.2
Beneath the Banyan Tree,7.7
Support Group Olympus,8.3
Kilroy,4.0
Rattle-Can,5.8
La Soga: Salvation,4.2
Flakka 666,4.9
Later Days,4.6
One Summer When You Went Away,8.4
An Egg Rescue,5.5
Bashira,6.7
After Antarctica,8.8
Room 9,1.8
Howl,4.1
Four Cousins and A Christmas,3.7
Chasing Giants,7.4
Forever Majestic,8.7
Elli Kelimelik Mektuplar,6.2
I Believe in One Only Father,7.7
Dead Again,3.2
Crazy Fist,4.3
Bearry,3.5
Kotigobba 3,5.7
The Many Saints of Newark,6.3
Dark Web: Cicada 3301,4.9
Willy's Wonderland,5.5
Jonesin',7.4
Being Grace,4.9
Ted K,6.0
Phobias,3.6
Rookie,5.8
Paul Dood's Deadly Lunch Break,5.4
Final Round,6.8
Kalathil Sandhippom,6.5
Cool Abdoul,6.6
Colors of Tobi,7.3
Flickering Ghosts of Loves Gone By,7.5
A Suspeita,5.9
There's Someone Inside Your House,4.8
The Greenhouse,4.9
Raging Fire,6.6
When in Venice,7.4
Redeemed,6.6
Miami Heat,3.4
Luzifer,5.6
Passagem Secreta,6.0
Reefa,5.5
Holiday Monday,4.3
Not Alone,3.8
Three Corners of Deception,8.4
Damaged Goods,6.7
The Story of My Wife,6.2
Little Bastards,5.7
Liars & Cheats,2.8
Good on Paper,5.6
Muerte al verano,6.2
Extinct,5.4
Heart of the Home,4.8
Four Walls,6.8
Once I Was Engaged,5.8
Salt from Bonneville,7.4
I Work at the Cemetery,7.5
Vakeel Saab,7.0
O Som Que Desce na Terra,6.4
Ashvamithra,6.4
Aleph,6.2
Krack,7.0
Carta Blanca,8.6
Iruvar Ullam,4.8
If She Screams,4.4
1945,5.0
Rumble,5.9
Hyde,4.1
Marakkar: Lion of the Arabian Sea,5.9
The Last Frankenstein,7.8
Portret neznakomtsa,5.6
Princess Principal Crown Handler: Chapter 1,7.7
Deadly Switch,4.5
Walk With Me,5.4
The United States of Insanity,6.8
Love You Like That,6.4
Joy Womack: The White Swan,7.0
A Vanishing Fog,4.9
Queen Bees,6.2
Welcome Matt,4.9
There Is No I in Threesome,5.5
Gunpowder Milkshake,6.0
Playing God,5.3
The Yellow Wallpaper,4.3
Moving in 2008,9.1
Peter Rabbit 2: The Runaway,6.2
Mehrunisa,8.4
Hitman's Wife's Bodyguard,6.1
Florian's Knights,8.0
Palma,6.9
The Heiress,4.0
Memoria,6.6
Tina,7.9
The Grand Duke of Corsica,4.9
Snake Eyes,5.4
The Tenant,8.1
Undercover,6.0
Magnolia Flowers,9.4
Two Yellow Lines,6.8
Dark Corners,4.0
Inside the Circle,5.0
Josefina,5.9
Vettai Naai,5.8
Canvas,8.7
Flee,7.9
Paper Dragons,3.9
Murina,6.8
Great White,4.2
Boulevard! A Hollywood Story,7.1
Ragged Heart,7.4
The Woman Who Robbed the Stagecoach,4.0
Seal Team,5.6
Before I Go,6.6
Jack Walker,4.7
Traidores,7.6
Saving the Roar,9.5
My Name is Gulpilil,7.1
Pinocchio: A True Story,4.0
12 Mighty Orphans,6.9
Zooey,4.4
Her Name Is Chef,6.1
Hollywood.Con,5.5
The Empire of Silence,7.2
The Dead of Night,3.8
Dawn Breaks Behind the Eyes,5.7
Are You Lonesome Tonight?,6.3
The Monsters Without,5.8
Flora & Ulysses,6.2
Yes Day,5.7
Pharma Bro,5.1
512 Hours,7.0
Rebel Dykes,7.1
Death and Bowling,6.9
Cold Blooded Killers,2.7
The United States vs. Billie Holiday,6.3
Last Call in the Dog House,3.5
45 Days to Be Rich,3.4
Zone 414,5.0
"Polanski, Horowitz. The Wizards from the Ghetto",6.4
Pleasure,6.4
Trunkfish,4.2
Oi For England's Green and Pleasant Land,8.9
High Holiday,4.9
The Crossing,7.4
Bhavai,5.6
Bringing Back Golden Eye,8.4
The Changing Face of Iceland,9.8
Pawns' Volition,8.8
The Darkness of the Road,4.9
Red Carpet,4.2
Time to Dance,2.2
The Judge of Harbor County,5.4
The Rangers: Bloodstone,2.7
Kung Fu Girl,6.5
After Yang,6.7
Everybody's Talking About Jamie,6.5
Quake,6.5
Here Before,5.8
8 (Sekiz),5.7
The Sparks Brothers,7.8
The Pharm,5.0
Survive,2.9
F.E.A.R.,3.8
Plaza Catedral,7.0
The Wilderness Road,7.1
Escape from Death Block 13,4.4
Missão Cupido,5.6
Six Three Times,5.2
Boris Karloff: The Man Behind the Monster,7.6
Good Night Beijing,4.5
Sakha,8.0
Demon,7.6
Skagit,4.2
The Alpines,5.0
Cusp,5.7
The Hating Game,6.2
Kringle Time,5.2
Beauty Is Skin Deep,5.1
Toma,8.8
The Space Between,5.5
Something in the Shadows,4.1
Mona Lisa and the Blood Moon,6.2
Sabina: Tortured for Christ - The Nazi Years,7.5
"tick, tick... BOOM!",7.5
Risky Roadz: 0121,7.9
Fisher,3.5
Googly Gumm Hai,6.2
Cult Cartel,8.4
Gateway,4.4
Pulpit Gangster: Life Inside a Cult,8.2
A Small Punch in a Little Town,7.6
Alter Ego,5.2
At Night Comes Wolves,2.2
Just Another Dream,3.8
The Diabolical Schemes of Thadeus Jackson,7.3
Bad Witch,4.1
Venus as a Boy,4.3
Payback,5.9
Proibido Nascer no Paraíso,7.4
The Most Beautiful Boy in the World,6.8
Magic,6.3
HellKat,2.7
Nova Star,7.3
Amigas de Sorte,5.8
Años luz,6.6
Handsome,8.1
Parkway of Broken Dreams,9.4
TISIS: The Cursed Child,9.6
Two Cents from a Pariah,5.6
Charlie Boy,8.9
The French Dispatch,7.2
Rage,4.5
The Darkness,2.9
The Last Inn,2.5
Flint Tale,6.5
Trafficante di Virus,4.4
The Father Who Moves Mountains,5.6
The Box,4.2
Stowaway,3.2
Affliction,8.5
Passing,6.7
One and the Same,5.9
Cinderella,6.0
The Girl on the Train,4.5
Once Upon a Time in Uganda,7.7
Simple as Water,6.8
The Water of Life,9.3
Guiexhuba,6.0
Wedding 93,9.3
Puzhayamma,6.7
First Date,5.4
Cyanide Mallika,8.4
Apart,7.6
Simple Like Silver,8.1
Alternate Ground,5.2
Cuidando al Sol,7.2
98 Seconds Without Shadow,6.2
The Last Rite,3.5
The Brother Side of the Wake,9.7
Agent Revelation,4.7
Warning,4.6
A Black Rift Begins to Yawn,5.2
Philia,5.0
Maisie,7.9
Aakhet,5.5
A Fine Pavement,6.7
The Pit,3.2
Hungama 2,3.2
The Last Game,6.4
Bob Biswas,6.7
Roadhouse Romance,6.8
The Devil's Drivers,7.6
Crazy 2 Crazy,3.8
House of Glass,4.2
A Cry in the Night: The Legend of La Llorona,3.6
Send It!,4.6
I Am All Girls,5.9
Paranormal Prison,2.8
Unicorn,7.3
Hands that Bind,8.0
Shadowland,2.6
Borderlands,8.5
Final Frequency,2.9
Women Is Losers,5.7
A Song for Us,8.2
The Fire Cats,9.5
Eternals,6.3
Fallen Angel: Call Sign - Extortion 17,7.8
Sir Alex Ferguson: Never Give In,8.2
The Land of Owls,5.9
Lucifer's Satanic Daughter,6.4
East of the Mountains,5.6
All Sorts,8.0
Girls Got Game,6.3
A New Lease on Christmas,5.6
The Jump,7.7
Spiked,5.9
Magnificus,9.6
Van Gogh in Love,7.2
Queenpins,6.3
Age of Stone and Sky: The Sorcerer Beast,6.7
The Other Tom,6.4
Dandilicious,8.0
Liborio,6.1
Fear and Loathing in Aspen,5.6
The Consequences,6.1
13 Fanboy,3.9
Human Resources,6.4
The Girl Who Believes in Miracles,5.4
The Rescue,8.3
The Lost Daughter,6.7
The Forever Choice,3.4
Wrong Turn,5.5
Three Floors,6.3
The Journey of Mr. Deshee,8.7
The Eyes of Tammy Faye,6.6
Amarração do Amor,6.3
Rollers,5.3
Override,4.4
Bad Detectives,4.3
Cherry,6.6
My Body Will Bury You,6.0
The Awakening of Lilith,4.9
Morbid Colors,4.1
Burn It All,4.0
Mediterraneo: The Law of the Sea,6.3
Seven Deadly Sins: Lust,5.4
Envy: Seven Deadly Sins,5.9
"Together, We Shall Die",6.1
Shapeless,3.9
Va bene così,5.6
Fate's Shadow: The Whole Story,8.9
Gunfight at Dry River,3.7
Zarephath,10.0
Blood-Red Ox,5.6
The Noise of Engines,6.0
The Bombardment,7.3
Separation,4.7
Monster Hunter: Legends of the Guild,5.1
Saina,4.4
Tuesdays and Fridays,4.4
Copilot,6.3
Maysville,5.8
Forgiveness,3.8
Telenovela: Grey-scale in Color,7.5
Know Fear,3.9
Coppelia,6.5
Je Suis Karl,5.5
All We Have,5.0
Killer Among Us,4.8
Die Vergesslichkeit der Eichhörnchen,6.2
Stowaway,5.6
The Way to Paradise,8.1
Donny's Bar Mitzvah,6.9
Eakam,8.0
A volte nel buio (Sometimes in the dark),7.5
Toubab,6.7
The Survivor,6.7
Last Looks,5.7
Distancing Socially,5.5
Last Ones There,3.3
Mar Infinito,6.7
8 Years,4.8
Hannes,5.5
Priorities Chapter One: Money Isn't Everything,4.4
Algo Azul,5.6
The Unkind,4.0
Taking the Fall,6.0
The Peacemakers,7.2
Wild East,6.1
13 Minutes,4.7
The Bunny Man,6.0
Akshara,5.2
Spiral,7.4
Andie the Great,5.0
The Green Knight,6.6
Zebra Girl,5.2
Meu Álbum de Amores,6.7
Haunted Evil Dead,4.0
"Pedro, Between the Devil and the Deep Blue Sea",7.0
Forget Me Not,8.4
Dwellers,2.9
Werewolves Within,6.0
The Wandering Life,8.1
The Puppet,6.7
Alpha Rift,5.6
We are all Detroit - Vom Bleiben und Verschwinden,6.8
Tijuana I Love You,5.0
The Starter Marriage,6.8
The Odd-Job Men,6.7
Ass Clowns: Constipated,6.5
The Power,5.5
Maara,7.5
Yuvarathnaa,6.2
Aakashavaani,7.8
Sisters on Track,5.9
All My Friends Hate Me,6.2
She Will,5.4
Sita on the Road,8.0
Margrete: Queen of the North,6.6
Lucas,5.7
The Man with the Answers,6.8
Little Big Mouth,4.1
Secret Life of A Student,5.6
Vive le travail !,4.8
Way Down in the Rust Bucket,8.4
Emily @ the Edge of Chaos,7.8
Breaking Boundaries: The Science of Our Planet,7.8
"Bob Ross: Happy Accidents, Betrayal & Greed",6.9
Tech Billionaires: Bill Gates,5.2
Tech Billionaires: Mark Zuckerberg,3.7
Tech Billionaires: Elon Musk,4.8
Endless Rain,6.7
Play It Cool,8.7
Psycho Storm Chaser,4.0
Caim,5.9
Eine Familie unterm Hakenkreuz,6.9
Space Race to SpaceX,5.4
Blue Box,7.6
Me Familia 2,4.9
Curse of Bloody Mary,3.4
The Legend of Jack and Jill,4.1
Easter Killing,4.4
National Champions,5.7
Queen Elizabeth II: The Unlikely Queen,5.9
O Ammayi Crime Story,8.3
The House of Flowers: The Movie,5.5
The Cars We Drove into Capitalism,5.8
Sand Dollar Cove,6.2
Voorhees Night of the Beast,7.1
I nostri fantasmi,6.6
Flowers and Honey,5.9
Dear Hacker,6.2
Runrig: There Must Be a Place,8.7
Nazis on Trial: Nuremberg in Colour,7.0
Ung Trussel,6.0
The Tape,7.6
Dark Light Voyage,7.2
Looking for Horses,8.2
Solutions,8.4
Julia & I,7.1
Follow You Home,5.4
The Mushroom Speaks,6.4
Healers,7.4
Seandainya Kau Ada,7.0
Holgut,6.8
Cinema Bandi,7.9
The Great Void,8.0
In Nisha Apartments,7.9
American Refugee,4.2
Image of Victory,7.2
Mommy's Deadly Con Artist,5.1
The Land Between the Lakes,3.7
One Night Off,5.5
Fisaa,8.5
13th Day of Christmas,7.1
El Silencio del Topo,7.3
Abyss,8.8
My Goal football,6.1
Stop,5.7
Natasha Hall,9.0
Lovely Boy,6.0
Dendam Kesuma,3.3
Napoleon - Metternich: Der Anfang vom Ende,7.0
"Grusel, Glaube und Genie - Gotik!",7.1
Fish and Puddle,9.1
Ítélet és kegyelem,5.4
"I'm a Girl, I'm a Princess",6.7
Strangers,8.8
Halloween Heroes,4.4
Mr. Peyii,6.7
One Day When We Were Young,7.4
Halloween 4,5.5
He's My Brother,8.2
Trek IT!,8.2
Perpetual Planet: Heroes of the Oceans,6.9
Muse,9.4
Room Without a View,7.6
The First Step,8.8
Jack,8.3
The Last Shelter,6.6
Revealed: The Hunt for Bin Laden,6.6
My Terrorized Teen,6.1
Deadly Debutantes: A Night to Die For,6.0
A Match Made at Christmas,5.3
Lady Lawman,4.5
Fortress,3.3
Not So Friendly Neighborhood Affair,7.9
God's Not Dead: We the People,4.1
The Brocade Mouse Royal Cat Nine Deep Blood Wolf,7.0
Meghan & Harry: Recollections May Vary,1.9
A Fire Inside,8.7
Die Rastatter Prozesse: Kriegsverbrecher vor Gericht,7.2
Dear Imamku,7.3
The Goldfish: Dreaming of the Sea,5.6
The Neutral Ground,8.1
Unsurety,7.2
On the Trail of Bigfoot: The Journey,5.5
Tzouhalem,9.4
Run,5.0
Dirty Tricks,6.5
Lokillo,4.0
A Christmas Number One,5.5
Cherubhead,9.2
Singing to Love - Cantando al Amor,7.6
Johnny Depp: King of Cult,9.2
Wrapped Up in Love,5.8
A qui veut bien l'entendre,6.8
Creation is Violent: Anecdotes on Kinski's Final Years,7.4
Forestland,8.2
Dirty Little Deeds,5.2
Malaysia to Amnesia,6.4
Collect Your Roadkill,8.7
Perfume de Gardenias,7.2
Architecture of Ra,8.4
Christmas on the Carousel,5.3
"Michael Cimino, God Bless America",7.2
UnPerfect Christmas Wish,5.8
Kinderbilder aus Sarajevo,7.1
The Phantom,6.5
Storm Lake,7.2
Cain and Abel,7.2
Audition: Found Footage Film,4.9
Aloners,6.8
Honsla Rakh,7.3
Kally's Mashup ¡Un cumpleaños muy Kally!,9.0
Memory (Memoria),8.0
The Abduction of Milly Dowler,6.3
The Other Side of the River,7.2
A Slice of Romance,5.5
House No. 446,9.1
Sweet & Sour,6.7
Mohist Mechanism,6.7
Party from Hell,5.0
Jangnong (Indian Pink),9.8
Cut!,4.6
Robot Apocalypse,3.6
The Body Won't Close,7.6
Hell's Garden,6.4
And So the Baton Is Passed,6.5
Intolerance,7.1
Her Pen Pal,6.7
Miss Futuro,4.5
Roman Kemp: Our Silent Emergency,8.4
Dark Blossom,7.0
All I Want for Christmas,6.8
Skating Polly: Ugly Pop,7.8
A Garden of Camellias,6.5
Blue,6.6
Menschenaffen: Eine Geschichte von Gefühl und Geist,7.7
Kurt Vonnegut: Unstuck in Time,7.8
Nuvvante Pichhe,9.1
1980,8.3
The Way of Miracles,7.3
Kreka: Dreamcatcher,8.4
Nätti ja Matti,7.6
Ruins,4.6
Poppy,7.9
Tierra Santa. El último peregrino,7.4
Tomorrow Is a Long Time: Chrissie Hynde Sings Bob Dylan,6.9
Chance the Rapper's Magnificent Coloring World,8.6
Revolta dos Malês,7.7
Clash,6.3
The Last House on the Street,1.8
Narkomania,6.4
Color of Love,7.2
Women of Honour: Destination Army,8.1
Bitchin': The Sound and Fury of Rick James,7.3
The Conductor,7.9
Lockdown: Uma História de Desinformação e Poder,9.6
Stockholm Syndrome,6.1
Accepted,7.8
The Death of My Two Fathers,8.6
Alien Danger 2! With Raven Van Slender,5.0
The Father of the Cyborgs,7.5
No Straight Lines: The Rise of Queer Comics,7.1
Reflection: A Walk with Water,9.0
Death Valley,4.0
Como Hackear seu Chefe,6.0
Doppelgang,8.7
Becoming Princess Diana,8.2
Bobby & Whitney,7.0
Blackout Love,5.5
Scrum,10.0
Kim Min-young of the Report Card,6.9
Not Out,6.1
Me Sinto Bem Com Você,6.0
Coming to You,7.5
"Soleimani, Iran's Strategist",6.4
Killer Movie: Director's Cut,4.6
The Co-op Wars,6.6
Indiana Jones: The Search for the Lost Golden Age,7.0
The Price of Freedom,5.7
MOVIE MAN,6.5
Io e Angela,5.2
"Bröllop, begravning och dop - Filmen",4.1
Brevfilmen,7.3
The Dutch Boys,6.2
The Burmese Python,9.9
Halt,8.3
Menunggu Bunda,8.4
Hari yang Dijanjikan,7.8
The 27-Hour Day,6.7
Little Sorcerer,4.0
Charles & Diana: 1983,7.0
Latin Noir,7.5
Annie Live!,6.4
City of Ali,7.6
Skál,7.0
Hanya Namamu Laila,4.7
Dekatnya Cinta,6.9
Chernobyl: The Invisible Enemy,5.7
Swingers,4.5
Viraat,7.7
Broken Harts,6.9
Operación Feliz Navidad,3.8
Together,6.2
A Snowy Christmas,5.1
Psych 3: This Is Gus,7.6
Raspberries with Mustard,6.6
Matt Deighton - Overshadowed,8.4
Blood of the Blue,6.5
Kevin Garnett: Anything Is Possible,7.2
Gorenography,5.2
Impact! Plus: Under Siege,6.6
Shatagni - The Movie,8.2
Rompak Raya,7.4
Life of Ivanna,7.1
Maluda,7.0
Raja,7.2
The Degenerates,7.0
Antenna,6.5
Qazi,5.6
Janine Jansen Falling for Stradivari,7.5
Koshai,5.4
The Contact Enigma,8.3
Dogface: A TrapHouse Horror,3.1
Small Town Pride,7.6
Picchar,8.5
The Body Fights Back,3.8
The Business of Christmas 2,8.9
Ura Aka: L'Aventure,6.4
Monobloc,7.1
Symbolicus Vol 1,5.6
Soldaten,6.6
Arc,6.0
Sennai,8.5
Orfoz,6.8
Verona,8.7
The Joy of Things,7.2
Nouveau Québec,6.4
The Good Doctor,9.0
Din: The Day,3.4
Heaven and Hell - The Centrepoint Story,7.6
Hans + Liv,9.0
Victim,5.9
Burning,7.1
Ride the Eagle,6.3
Rise Again: Tulsa and the Red Summer,6.5
One of Ours,6.4
Vice City,8.7
The Story of Looking,7.2
Ieandavi,8.7
See What You Made Me Do,8.0
Young and Afraid,7.9
Uttama Kali Purushudu,2.7
Spiritual Audacity: The Abraham Joshua Heschel Story,7.6
The Girl in the Window,5.0
Konkal chor,9.1
All the Happy People,7.3
Historya ni Ha,6.7
Vigilante,5.6
Young Plato,8.1
All About My Sisters,6.9
Zindagi Unlimited,5.3
The Day Today,6.1
Passion,5.7
Love & Where to Find It,6.2
Decameron,6.2
Birds of America,7.2
Rose West: Born Evil?,6.2
"Strive, Strive, Strive",9.2
María Luisa Bemberg: The Echo of My Voice,7.9
Bicemo bogati,6.8
Mise à Nu,7.1
Dobra ponuda,8.1
Paper Girl,6.9
Impact! Plus: Against All Odds,6.7
Murdered by a Mob: The Killing of Bijan Ebrahimi,7.9
Sakharov. Two Lives,6.4
Entrelaçados,9.6
Tala the Film Concert,3.4
Envision,2.1
Kachi,4.8
Noir,4.4
Hannibal Hopkins & Sir Anthony,7.0
From Earth to Sky,8.4
Gas Kuy,6.0
Friendzone,5.9
Dead Vision,8.6
"Monaco, le Grand Prix à tout prix",7.0
Ribbon,6.8
Reign of the Superwomen,5.2
Escaping Captivity: The Kara Robinson Story,7.2
Under Tomorrow's Sky,7.8
Karena Kamu Cuma Satu,7.6
Hotel on the Koppies,5.6
Jacques Audiard - Le cinéma à coeur,6.7
Prayanikudu,6.7
Time,6.4
Exposing Muybridge,6.9
Friendship Is Like a Cocoon,6.5
Don Filipo,5.6
Taoist Priest,8.0
George Floyd: From Murder to Justice?,4.7
Lin Shirong the martial god of Huang Feihong,8.7
Atma Vasikaranam,5.9
218: Behind the Wall of Silence,8.5
Pipeline,5.9
When Love Blooms,5.8
Kampong Pisang Musikal Raya Istimewa,7.6
Gatao: The Last Stray,6.0
Alephia 2053,7.4
Writing Around the Christmas Tree,4.8
Walden,6.9
The Cost of Deception,1.5
